Circovirus porcine1,Pangolin circovirus A2,Pangolin circovirus A3,Pangolin circovirus B2,Pangolin circovirus B3,Pangolin circovirus T3,Circoviridae sp,Fringilla montifringilla Circoviridae sp,Manis javanica papillomavirus 1,Manis pentadactyla papillomavirus 1,Copiparvovirus P171T,Pangolin protoparvovirus,Densovirinae sp,Pangolin densovirus A1,Pangolin densovirus T2,Pangolin parvovirus,Pangolin parvovirus B1,Pangolin pestivirus,Pangolin pestivirus T7,Pestivirus P179T,Morbillivirus canis,Hunnivirus P236T,Pangolin hunnivirus,Rhinolophus bat shanbavirus,Picornavirales sp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.574782237,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.592300031,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.615477644,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.333938727,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.342746307,0,0,0,0,1.791725728,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.458350742,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.335698551,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.558415743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
