Health,sample,Type,Host,Family,Genus,Species,rpm,coverage,lg_rpm_1
Healthy,UN_MBA191007,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,2.06128,92.0694,0.485903054
Healthy,UN_MBA191009,Anal,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus B3,185.667,100,2.271067548
Healthy,UN_MBA191009,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,1.32004,91.7339,0.365495473
Healthy,UN_MBA191010,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,3.57984,98.8968,0.660850306
Healthy,UN_MBA191010,Anal,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus T3,2.31185,100,0.520070659
Healthy,UN_MBA191013,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,12.5099,99.1928,1.130652134
Healthy,UN_MBA191015,Anal,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus A3,8.4393,100,0.974939789
Healthy,UN_MBA191015,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,4.13326,99.6077,0.710393262
Healthy,UN_MBA191016,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,10.3639,99.247,1.055527403
Healthy,UN_MBA191017,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,1.07491,72.9381,0.316999264
Healthy,UN_MBA191019,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus T2,2.98508,100,0.600437044
Healthy,UN_MBA191021,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,9.17167,99.0464,1.007392262
Healthy,UN_MBA191023,Anal,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus T3,35.7634,100,1.56541567
Healthy,UN_MBA191023,Anal,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus B3,50.4912,99.9448,1.711733013
Healthy,UN_MBA191024,Anal,Manis javanica,Paramyxoviridae,Morbillivirus,Morbillivirus canis,8.71983,100,0.987658669
Healthy,UN_MBA191024,Anal,Manis javanica,Picornaviridae,Shanbavirus,Rhinolophus bat shanbavirus,3.66642,99.2595,0.668983825
Healthy,UN_MBA191025,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,21.0445,99.3455,1.343300253
Healthy,UN_MBA191026,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,2.73771,98.8867,0.572605602
Healthy,UN_MBA191026,Anal,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus A3,1.07849,100,0.317747939
Healthy,UN_MBA191027,Anal,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,39.6792,100,1.609372403
Healthy,UN_MBA191027,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,2.95637,95.7367,0.5972969
Healthy,UN_MBA191028,Anal,Manis javanica,Circoviridae,Circovirus,Circovirus porcine1,2.62377,99.114,0.559160625
Healthy,UN_MBA191031,Anal,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus B2,8.6521,100,0.984621813
Healthy,UN_MBA191037,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin parvovirus,2.34882,98.4233,0.524891805
Healthy,UN_MBA191038,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,1.77006,97.363,0.442489176
Healthy,UN_MBA191053,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,3.81109,97.5034,0.682243481
Healthy,UN_MBA191054,Anal,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus T7,3.44154,95.669,0.647533578
Healthy,UN_MBA191059,Anal,Manis javanica,Flaviviridae,Pestivirus,Pestivirus P179T,245.437,100,2.391705913
Healthy,UN_MBA191059,Anal,Manis javanica,Papillomaviridae,unclassified Papillomaviridae genus,Manis javanica papillomavirus 1,4.30325,99.6763,0.724542101
Healthy,UN_MBA191068,Anal,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus T7,16.3927,99.9598,1.240367006
Healthy,UN_MBA191071,Anal,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,6.30608,99.7435,0.863684423
Healthy,UN_MBA191074,Anal,Manis javanica,Parvoviridae,Copiparvovirus,Copiparvovirus P171T,1.04019,97.7235,0.309670615
Healthy,UN_MBA191078,Anal,Manis javanica,Parvoviridae,Protoparvovirus,Pangolin protoparvovirus,1.43957,83.5866,0.387313284
Healthy,UN_MBA191079,Anal,Manis javanica,Parvoviridae,Protoparvovirus,Pangolin protoparvovirus,3.03212,99.8784,0.605533449
Healthy,UN_MBO190999,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,11.5963,99.7932,1.100242995
